Sl No	Question	Answer	Reference
3035	What two things must the one who was guilty of a sin do?	The one who was guilty of a sin must confess whatever sin he commited and bring his guilt offering to Yahweh. 	Leviticus 5:6
3036	If he could not afford to buy a lamb, what could he bring to Yahweh for a sin offering?	If he could not afford a lamb, he could bring to Yahweh for a sin offering two doves or two young pigeons. 	Leviticus 5:7-10
3037	If he could not afford two doves or two young pigeons, what could he bring for his sin offering?	If he could not afford two doves or two young pigeons, he could bring a tenth of an ephah of fine flour without any oil or incense on it. 	Leviticus 5:11-14
3038	What offering must be brought if anyone violated a command and sinned by failing to pay anything that was required by Yahweh?	This offering must be a ram without blemish from the flock valued in silver shekels. 	Leviticus 5:15-19
3039	What did one have to do if he sinned against his neighbor?	If a person sinned against his neighbor he had to restore whatever he took or the lost thing that he had found. 	Leviticus 6:1
3040	What did one have to do if he sinned against his neighbor?	If a person sinned against his neighbor he had to restore whatever he took or the lost thing that he had found. 	Leviticus 6:2
3041	What did one have to do if he sinned against his neighbor?	If a person sinned against his neighbor he had to restore whatever he took or the lost thing that he had found. 	Leviticus 6:3
3042	What did one have to do if he sinned against his neighbor?	If a person sinned against his neighbor he had to restore whatever he took or the lost thing that he had found. 	Leviticus 6:4
3043	What did one have to do who lied about any matter?	If one lied about any matter, he had to restore it in full and add one-fifth more. 	Leviticus 6:5
3044	What did someome have to bring to the priest for a guilt offering if he was guilty of the sins above?	If one was guilty of the sins above, he had to bring a ram without blemish from the flock. 	Leviticus 6:6-8
3045	How long did the burnt offering remain on the altar?	The burnt offering remained on the altar all night until morning. 	Leviticus 6:9
3046	What did the priest have to put on in order to remove the ashes from the altar?	The priest had to put on linen clothes and linen underclothes to take the ashes from the altar. 	Leviticus 6:10
3047	What did the priest have to do before carrying the ashes outside the camp?	The priest had to take off his linen clothes and put on other clothes before carrying the ashes away from the camp. 	Leviticus 6:11
3048	What had to be kept going at all times?	The fire on the altar had to be kept going at all times. 	Leviticus 6:12
3049	What had to be kept going at all times?	The fire on the altar had to be kept going at all times. 	Leviticus 6:13-15
3050	What were the priests to do with the leftover grain offering?	The priests could eat the grain offering leftover without yeast. 	Leviticus 6:16-19
3051	What did the sons of Aaron have to do when their sons were anointed?	The sons of Aaron had to present a grain offering of a tenth part of an epaph of fine flour, half in the morning and half in the evening. 	Leviticus 6:20
3052	How did this grain offering have to be prepared?	This grain offering had to be made with oil in a baking pan, soaked, then baked in pieces. 	Leviticus 6:21
3053	Who would offer this grain offering?	The son of Aaron who was to become the new high priest would offer this grain offering. 	Leviticus 6:22-25
3054	According to the law of the sin offering, what did the priest have to do to the offering?	The priest had to eat the sin offering. 	Leviticus 6:26-27
3055	What had to be done with the clay pot in which a bloody garment was boiled?	The clay pot in which the bloody garment was boiled had to be broken. 	Leviticus 6:28-29
3056	What part of the sin offering was not to be eaten?	No part of the sin offering was to be eaten from which blood was brought into the tent of meeting to make atonement in the holy place. 	Leviticus 6:30
3057	What offering was like the guilt offering?	The sin offering was like the guilt offering. 	Leviticus 7:7
3058	What could the priest keep from anyone's burnt offering?	The priest could keep the hide of that offering. 	Leviticus 7:8
3059	Which offering belonged to the priest?	The grain offering belonged to the priest. 	Leviticus 7:9
3060	Which offering belonged to the priest?	The grain offering belonged to the priest. 	Leviticus 7:10-16
3061	What had to be done with the meat of the sacrifice that had not been eaten by the third day?	The meat of the sacrifice that had not been eaten by the third day had to be burnt. 	Leviticus 7:17-24
3062	What had to be done to anyone who ate fat from an animal or blood from a bird or an animal?	Anyone who ate fat from an animal or blood from a bird or animal had to be cut off from his people. 	Leviticus 7:25
3063	What had to be done to anyone who ate fat from an animal or blood from a bird or an animal?	Anyone who ate fat from an animal or blood from a bird or animal had to be cut off from his people. 	Leviticus 7:26-31
3064	What had to be given to the priest after the fat had been burned on the altar?	After the fat was burned on the altar, the right thigh would be given to the priest. 	Leviticus 7:32-38
3065	What did Yahweh tell Moses to do with Aaron and his sons?	Yahweh told Moses to take Aaron and his sons, the garments and the anointing oil, the bull, two rams, and the basket of unleavened bread to the entrance to the tent of meeting. 	Leviticus 8:1-2
3066	Who did Yahweh tell Moses to call to the entrance of the tent of meeting?	Yahweh told Moses to call all the assembly at the entrance of the tent of meeting. 	Leviticus 8:3-6
3067	What clothing did Moses put on Aaron?	Moses clothed Aaron with a tunic, sash, and robe. 	Leviticus 8:7
3068	What did Moses place in the breastpiece?	Moses placed the Urim and the Thummim in the breastpiece. 	Leviticus 8:8
3069	What was the holy crown?	The holy crown was the golden plate. 	Leviticus 8:9
3070	What did Moses anoint with the anointing oil?	Moses anointed the tabernacle and everything in it with the anointing oil. 	Leviticus 8:10-11
3071	How did Moses consecrate Aaron?	Moses consecrated Aaron by anointing him with anointing oil. 	Leviticus 8:12-13
3072	What did Moses do with the blood of the bull that was brought for the sin offering?	Moses took the blood and put it on the horns of the altar with his finger. He then poured out the blood at the base of the altar. 	Leviticus 8:14
3073	What did Moses do with the blood of the bull that was brought for the sin offering?	Moses took the blood and put it on the horns of the altar with his finger. He then poured out the blood at the base of the altar. 	Leviticus 8:15-17
3074	What did Moses do with the blood from the ram used for the burnt offering?	Moses killed the ram and splashed its blood against every side of the altar. 	Leviticus 8:18
3075	What did Moses do with the blood from the ram used for the burnt offering?	Moses killed the ram and splashed its blood against every side of the altar. 	Leviticus 8:19-22
3076	What did Moses do with some of the blood from the second ram, the ram of consecraton?	Moses took some of the blood from the ram of consecration and placed it on the tip of Aaron's right ear, the thumb of his right hand, and the big toe on his right foot. 	Leviticus 8:23-34
3077	How long were the priests to remain at the entrance to the tent of meeting?	The priests were to remain at the entrance to the tent of meeting for seven days and seven nights. 	Leviticus 8:35
3078	What was Aaron and his sons' response to what Yahweh had ask them to do?	They did all the things God had commanded them through Moses. 	Leviticus 8:36
3079	On what day did Moses call Aaron and his sons and the elders of Israel?	Moses called Aaron and his sons and the elders of Israel on the eighth day. 	Leviticus 9:1
3080	What two animals did Moses ask Aaron and his sons to bring to offer to Yahweh?	Moses ask Aaron to bring a calf from the herd and a ram without blemish. 	Leviticus 9:2
3081	What animals did Moses ask Aaron to tell the people of Israel to bring to offer to Yahweh?	Moses asked Aaron to tell the people to bring a male goat, a calf, a lamb, an ox, and a ram to offer to Yahweh. 	Leviticus 9:3
3082	What animals did Moses ask Aaron to tell the people of Israel to bring to offer to Yahweh?	Moses asked Aaron to tell the people to bring a male goat, a calf, a lamb, an ox, and a ram to offer to Yahweh. 	Leviticus 9:4-5
3083	Why had Yahweh commanded them to do this?	Yahweh commanded them to do this that his glory might appear to them. 	Leviticus 9:6-21
3084	After Aaron made the offerings as Moses had said, what did Aaron do for the people?	After Aaron made the offerings, he lifted up his hands and blessed the people. 	Leviticus 9:22-23
3085	What happened when the glory of Yahweh appeared to the people?	When the glory of Yahweh appeared to the people, fire came out and consumed the burnt offering and fat on the altar. 	Leviticus 9:24
3086	Who offered unapproved fire to Yahweh?	Nadab and Abihu, sons of Aaron, offered unapproved fire to Yahweh. 	Leviticus 10:1
3087	What happened to these two men as a result of this act?	Fire came out from Yahweh and devoured them. 	Leviticus 10:2-3
3088	Who was called upon by Moses to carry the bodies out of the tabernacle?	Mishael and Elzaphan, the sons of Uzziel, the uncle of Aaron, were called by Moses to carry the bodies away. 	Leviticus 10:4-6
3089	What did Moses say to Aaron and his sons?	Moses said to them that they should not go out of the tent of meeting or they would die. 	Leviticus 10:7-8
3090	What did Yahweh say to Aaron and his sons about what they should not drink?	Yahweh said to Aaron and his sons they should not drink wine or strong drink before entering the house of meeting. 	Leviticus 10:9-15
3091	Why was Moses angry with Eleazer and Ithamar, the remaining sons of Aaron?	Moses was angry with Eleazer and Ithamar because they had let the goat for the sin offering burn up. 	Leviticus 10:16-20
3092	What living things that live on the earth did Yahweh tell Moses and Aaron the people of Israel could eat?	Yahweh told Moses and Aaron to tell the people of Israel they could eat any living thing that has a split hoof and that chews cud. 	Leviticus 11:3
3093	Were the people allowed to eat an animal if they only had a split hoof or if they only chewed the cud?	If an animal possessed only one of the two traits they were not allowed to eat it. 	Leviticus 11:4-8
3094	What animals living in the water could be eaten by the people of Israel?	Animals that live in the water which have fins and scales may be eaten by the people of Israel. 	Leviticus 11:9-12
3095	What kind of falcons, hawks, and ravens did Yahweh say must be detested and could not be eaten?	Yahweh said that no falcons, hawks or ravens could be eaten. They all must be detested. 	Leviticus 11:13
3096	What kind of falcons, hawks, and ravens did Yahweh say must be detested and could not be eaten?	Yahweh said that no falcons, hawks or ravens could be eaten. They all must be detested. 	Leviticus 11:14
3097	What kind of falcons, hawks, and ravens did Yahweh say must be detested and could not be eaten?	Yahweh said that no falcons, hawks or ravens could be eaten. They all must be detested. 	Leviticus 11:15
3098	What kind of falcons, hawks, and ravens did Yahweh say must be detested and could not be eaten?	Yahweh said that no falcons, hawks or ravens could be eaten. They all must be detested. 	Leviticus 11:16-20
3099	What kinds of insects could be eaten by the people?	Insects that walk on legs above their feet, which they use to leap on the ground, may be eaten by the people. 	Leviticus 11:21-22
3100	What should the people do to four-legged insects that fly?	The people should detest any four-legged insect that flies. 	Leviticus 11:23-28
3101	What animals that creep on the ground are considered unclean?	The weasel, the rat, every kind of large lizard, the gecko, the monitor lizard, the lizard, the skink, and the chameleon are considered unclean. 	Leviticus 11:29
3102	What animals that creep on the ground are considered unclean?	The weasel, the rat, every kind of large lizard, the gecko, the monitor lizard, the lizard, the skink, and the chameleon are considered unclean. 	Leviticus 11:30-34
3103	What happens to anything that an unclean animal touches?	Anything that an unclean animal touches becomes unclean. 	Leviticus 11:35-41
3104	What does Yahweh say about things that crawl on the ground?	All the animals that crawl upon the ground are to be detested and are unclean. 	Leviticus 11:42-44
3105	Why did Yahweh say that the people of Israel must be holy?	Yahweh said that the people must be holy because he is holy. 	Leviticus 11:45-47
3106	What did Yahweh say to Moses about women who gave birth to a male child?	Yahweh said to Moses that a woman who gave birth to a male child would be unclean for seven days and on the eighth the child would be circumcised. 	Leviticus 12:2
3107	What did Yahweh say to Moses about women who gave birth to a male child?	Yahweh said to Moses that a woman who gave birth to a male child would be unclean for seven days and on the eighth the child would be circumcised. 	Leviticus 12:3
3108	What was a woman required to do following her being unclean?	She was required to go through purification for thirty-three days and not enter the tabenacle or touch anything holy during this time. 	Leviticus 12:4
3109	What was a woman required to do diferently if she gave birth to a female child?	If a woman gave birth to female child, she was to be unclean for two weeks and go through purification for sixty-six days. 	Leviticus 12:5
3110	What was a woman required to do at the end of her purification?	At the end of her purification, a woman was required to bring to the priest a one year old lamb for a burnt offering and a pigeon or dove for a sin offering. 	Leviticus 12:6-7
3111	What if the woman who gave birth to a child could not afford a lamb?	If the woman could not afford a lamb, she was required to bring two young pigeons or two doves for the burnt and sin offerings. 	Leviticus 12:8
3112	What did Yahweh say a person must do if one has on his skin a swelling, scab, or bright spot that becomes infected?	Yahweh said that anyone who has a skin infection must come to Aaron or to one of his sons, the priests. 	Leviticus 13:2-3
3113	What must be done if the priest determines that the swelling, scab, or bright spot may not be infectious?	If the priest cannot determine that the swelling, scab, or bright spot is infectious, the person must be isolated for one week to be examined again. 	Leviticus 13:4-5
3114	What if the swelling, scab, or bright spot proves not to be infectious?	If the swelling, scab, or bright spot is not infectious, the priest will pronounce him clean after he washes his clothes. 	Leviticus 13:6-8
3115	What are the three conditions that the swelling, scab, or bright spot may show if it is to be declared infectious?	The three conditions which the swelling, scab, or bright spot may show to be pronounced infectious are white swelling in the skin, the hair has turned white, and there is raw flesh in the swelling. 	Leviticus 13:9
3116	What are the three conditions that the swelling, scab, or bright spot may show if it is to be declared infectious?	The three conditions which the swelling, scab, or bright spot may show to be pronounced infectious are white swelling in the skin, the hair has turned white, and there is raw flesh in the swelling. 	Leviticus 13:10
3117	If the priest determines that this is a chronic skin disease, what must the priest do?	If the priest determines that this is a chronic skin disease, he must pronounce the person unclean, but the priest does not isolate him. 	Leviticus 13:11-13
3118	If the skin disease covers the person's entire body and raw flesh can be seen, what is the person declared to be?	If the skin disease covers the person's entire body and raw flesh can be seen, the person is declared to be unclean. 	Leviticus 13:14-15
3119	How may the unclean person become clean again?	The unclean person may become clean again if the raw flesh turns white and he is pronounced clean by the priest. 	Leviticus 13:16
3120	How may the unclean person become clean again?	The unclean person may become clean again if the raw flesh turns white and he is pronounced clean by the priest. 	Leviticus 13:17
3121	What must a priest do if he examines a person who had a boil but now has a swelling or bright spot that appears deeper under the skin where the boil was and the hair there has turned white?	The priest must declare that person unclean. 	Leviticus 13:18
3122	What must a priest do if he examines a person who had a boil but now has a swelling or bright spot that appears deeper under the skin where the boil was and the hair there has turned white?	The priest must declare that person unclean. 	Leviticus 13:19-28
3123	What kind of infectious disease may cause one to be unclean if it is found on the head or chin?	If a man or woman has an itching disease on the head or chin it may be infectious and make the person unclean. 	Leviticus 13:29-39
3124	What would a man who lost his hair be pronounced?	A man who lost his hair would be pronounced clean. 	Leviticus 13:40-43
3125	What one condition on a man's bald head would result in the man being pronounced unclean?	If the bald man's head had reddish-white sores that the priest decided was an infectious disease, he would be pronounced unclean. 	Leviticus 13:44
3126	What must the unclean person do to let others know that he is unclean?	The unclean person must wear torn clothes, loosely hung hair, cover his face up to his nose, and shout "unclean, unclean" when in the presence of others. He must also live alone away from the camp. 	Leviticus 13:45
3127	What must the unclean person do to let others know that he is unclean?	The unclean person must wear torn clothes, loosely hung hair, cover his face up to his nose, and shout "unclean, unclean" when in the presence of others. He must also live alone away from the camp. 	Leviticus 13:46-56
3128	What must the priest do with any garment of wool or linen or leather or anything made for leather which was found to be infected with mildew?	If any garment of wool or leather or anything made from leather was found to be infected with mildew, the priest must burn it. 	Leviticus 13:57-59
3129	Where must the priest examine the diseased person on the day of his cleansing?	The priest must examine the diseased person outside of the camp to see if the infection is healed. 	Leviticus 14:3
3130	What did the priest command the diseased person to bring for the pronouncement of his cleansing?	The priest commanded the diseased person bring two live clean birds, cedar wood, scarlet yarn, and hyssop. 	Leviticus 14:4-6
3131	After the priest sprinkled the mixture of blood, water, cedar wood and hyssop over the diseased person seven times, what did he do with the remaining bird?	After the priest sprinkled the mixture over the diseased person seven times, he released the remaining bird to fly into the fields. 	Leviticus 14:7
3132	What must the person being cleansed do after the priest has pronounced him clean?	The person being cleansed must wash his clothes, shave off all of his hair, bathe himself in water, and live outside his tent for seven days. 	Leviticus 14:8
3133	What must the person being cleansed do after the priest has pronounced him clean?	The person being cleansed must wash his clothes, shave off all of his hair, bathe himself in water, and live outside his tent for seven days. 	Leviticus 14:9
3134	On the eighth day, what animals should the person being cleansed bring to the priest if he can afford them?	On the eighth day, the person being cleansed should bring to the priest, if he can afford them, two male lambs without blemish, one female lamb a year old without blemish, and three tenths of an ephah of fine flour mixed with oil and a log of oil. 	Leviticus 14:10-20
3135	If the person being cleansed is poor and cannot afford these sacrifices, what may he bring instead?	If the person being cleansed is poor and cannot afford the lambs, he may bring one male lamb, one tenth of an ephah of fine flour mixed with oil, a log of oil, and two doves or young pigeons. 	Leviticus 14:21-27
3136	Where does the priest place the oil that is used in the cleansing?	The priest places the oil on the right ear, the right thumb, the right big toe, and the remainder on the head of the one being cleansed. 	Leviticus 14:28
3137	Where does the priest place the oil that is used in the cleansing?	The priest places the oil on the right ear, the right thumb, the right big toe, and the remainder on the head of the one being cleansed. 	Leviticus 14:29-43
3138	What may cause a house to be pronounced unclean by a priest?	A house may be pronounced unclean by a priest if it has mildew that cannot be stopped. 	Leviticus 14:44
3139	What could happen to the house if the mildew spreads and cannot be stopped?	The house could be destroyed if the mildew spreads and cannot be stopped. 	Leviticus 14:45-51
3140	How can the house be pronounced clean if the mildew is stopped?	The house may be pronounced clean by a priest by sprinkling a mixture of blood of a bird and water, cedar wood, hyssop, and scarlet yarn. 	Leviticus 14:52-57
3141	What did Yahweh say to Moses and Aaron was the condition of a man who has a flow of infected fluid?	Yahweh said to Moses and Aaron that any man who has a flow of infected fluid coming out of his body is unclean. 	Leviticus 15:3-6
3142	What happens to the person who touches the person who is unclean because of a flow of infected fluid?	Anyone who touches the unclean person will be unclean himself and will need to bathe in water, wash his clothes, and will be unclean until evening. 	Leviticus 15:7-12
3143	In what kind of water must the person being cleansed from an infected flow of fluid bathe?	The person being cleansed from an infected flow of fluid must bathe in running water. 	Leviticus 15:13-14
3144	What must the unclean man present to the priest for a sin offering and a burnt offering?	The unclean man must present to the priest two doves or two young pigeons for a sin offering and a burnt offering. 	Leviticus 15:15
3145	What is the condition of anything or any person that has contact with a man's semen?	They must be washed with water and will be unclean until evening. 	Leviticus 15:16
3146	What is the condition of anything or any person that has contact with a man's semen?	They must be washed with water and will be unclean until evening. 	Leviticus 15:17
3147	What is the condition of anything or any person that has contact with a man's semen?	They must be washed with water and will be unclean until evening. 	Leviticus 15:18
3148	How long will woman be impure after she menstruates?	She will be impure for seven days. 	Leviticus 15:19-23
3149	How long will a man be unclean if he sleeps with a woman who is menstruating and her flow touches him?	He will be unclean for seven days. 	Leviticus 15:24-28
3150	What is a woman to bring as a sacrifice on the eight day after her flow of blood stops?	She is to bring two doves or two young pigeons. 	Leviticus 15:29-33
3151	What did Yahweh tell Moses to warn Aaron not to do when coming into the most holy place inside the curtain?	Yahweh told Moses to warn Aaron not to come into the most holy place inside the curtain at just any time. 	Leviticus 16:2
3152	What must Aaron bring with him when he enters the most holy place?	Aaron must bring with him a young bull for a sin offering and a ram as a burnt offfering. 	Leviticus 16:3
3153	What must Aaron do before he puts on the priestly garments?	Aaron must bathe himself in water before putting on the priestly garments. 	Leviticus 16:4
3154	Who must provide Aaron two male goats and one ram?	The assembly of Israel must give Aaron two male goats and one ram. 	Leviticus 16:5-7
3155	Why did Aaron cast lots for the goats?	Aaron cast lots for the goats to choose which one to offer to Yahweh and which one to be the scapegoat. 	Leviticus 16:8-9
3156	What happens to the goat that the lot fell to be the scapegoat?	The goat that the lot fell to be the scapegoat is presented before Yahweh for atonement and then is sent away into the wilderness. 	Leviticus 16:10
3157	For whom does Aaron present the bull?	Aaron presents the bull as a sin offering for himself and his family. 	Leviticus 16:11-12
3158	What must cover the atonement lid which is over the covenant decrees so that Aaron will not die?	A cloud of sweet incense must cover the atonement lid so that Aaron will not die. 	Leviticus 16:13-16
3159	Who else must be in the tent with Aaron when he makes atonement in the most holy place?	No one else must be in the tent when Aaron makes atonement in the most holy place. 	Leviticus 16:17-20
3160	What must Aaron do when he places his hands on the head of the scapegoat?	Aaron must confess over the scapegoat all the wickedness of the people of Israel, all their rebellion, and all their sins. 	Leviticus 16:21-22
3161	What is Aaron to do with the priestly garments?	Aaron is to take off the priestly garments and leave them in the tent of meeting. 	Leviticus 16:23-28
3162	When did Yahweh say the day of atonement should take place?	On the tenth day of the seventh month, the atonement would be made each year. 	Leviticus 16:29-34
3163	If a man kills an ox, lamb, or goat without bringing it to the entrance of the tent of the assembly to offer it as a sacrifice to Yahweh, of what sin is he guilty?	The man who kills an ox, lamb, or goat without bringing it to the entrance of the tent of the assembly to offer it as a sacrifice to Yahweh is guilty of bloodshed and must be cut off from among his people. 	Leviticus 17:3
3164	If a man kills an ox, lamb, or goat without bringing it to the entrance of the tent of the assembly to offer it as a sacrifice to Yahweh, of what sin is he guilty?	The man who kills an ox, lamb, or goat without bringing it to the entrance of the tent of the assembly to offer it as a sacrifice to Yahweh is guilty of bloodshed and must be cut off from among his people. 	Leviticus 17:4
3165	What was the purpose of this command?	The purpose of this command was to get the people to offer their sacrifices to Yahweh at the entrance to the tent of meeting instead of in the open field. 	Leviticus 17:5-6
3166	What would this statute end?	This statute would stop the people from offering sacrifices to the goat idols. 	Leviticus 17:7-10
3167	What does Yahweh say makes atonement?	Yahweh says that the blood makes atonement. 	Leviticus 17:11-12
3168	What does Yahweh say must be done to any animal or bird that is killed to eat by any of the people of Israel or any foreigner who lives among them?	Yahweh says that any of the people of Israel or a foreigner living among them who kills an animal or bird to eat must pour the blood from it and cover the blood with earth. 	Leviticus 17:13-14
3169	What must a person do who has eaten an animal that has died or been torn apart by animals?	A person who has eaten an anmal that has died or has been torn apart by animals must wash his clothes and bathe himself in water and remain unclean until evening. 	Leviticus 17:15-16
3170	What two places did Yahweh tell the people they could not do like the people there?	Yahweh told the people they could not do like the people of Egypt or Canaan. 	Leviticus 18:3-5
3171	What is one group of people that God forbid having sexual relations with?	Yahweh told the people they could not have sexual relations with any close relative. 	Leviticus 18:6-18
