11	appoint	kt	appoint, appoints, appointed, appointment, ordered, desired, directed, selected, reserved	The terms "appoint" and "appointed" refer to choosing someone to fulfill a specific task or role.  * To "be appointed" can also refer to being "chosen" to receive something, as in "appointed to eternal life." That people were "appointed to eternal life" means they were chosen to receive eterna life. * The phrase "appointed time" refers to God's "chosen time" or "planned time" for something to happen. * The word "appoint" may also mean to "command" or "assign" someone to do something.	['H561', 'H977', 'H2163', 'H2706', 'H2708', 'H3198', 'H3245', 'H3259', 'H4150', 'H4152', 'H4483', 'H4487', 'H4662', 'H5414', 'H5975', 'H6310', 'H6485', 'H6680', 'H6942', 'H6966', 'H7760', 'H7761', 'H7896', 'G322', 'G606', 'G2525', 'G2749', 'G4296', 'G4384', 'G4929', 'G5021', 'G5087']		* 1 Samuel 08:11* Acts 03:20* Acts 06:02* Acts 13:48* Genesis 41:33-34* Numbers 03:9-10
12	ark	kt	ark	The term "ark" literally refers to a rectangular wooden box that is made to hold or protect something. An ark can be large or small, depending on what it is being used for.  * In the English Bible, the word "ark" is first used to refer to the very large, rectangular, wooden boat that Noah built to escape the worldwide flood. The ark had a flat bottom, a roof, and walls. * Ways to translate this term could include "very large boat" or "barge" or "cargo ship" or "large, box-shaped boat." * The Hebrew word that is used to refer to this huge boat is the same word used for the basket or box that held baby Moses when his mother put him in the Nile River to hide him. In that case it is usually translated as "basket." * In the phrase "ark of the covenant," a different Hebrew word is used for "ark." This could be translated as "box" or "chest" or "container." * When choosing a term to translate "ark," it is important in each context to consider what size it is and what it is being used for.   	['H727', 'H8392', 'G2787']	 arkofthecovenant, basket)	* 1 Peter 03:20* Exodus 16:33-36* Exodus 30:06* Genesis 08:4-5* Luke 17:27* Matthew 24:37-39
13	arkofthecovenant	kt	ark of the covenant, ark of Yahweh	These terms refer to a special wooden chest, overlaid with gold, that contained the two stone tablets on which the Ten Commandments were written. It also contained Aaron's staff and a jar of manna.  * The term "ark" here could be translated as "box" or "chest" or "container." * The objects in this chest reminded the Israelites of God's covenant with them. * The ark of the covenant was located in the "most holy place." * God's presence was above the ark of the covenant in the most holy place of the tabernacle, where he spoke to Moses on behalf of the Israelites. * During the time that the ark of the covenant was in the most holy place of the temple, the high priest was the only one who could approach the ark, once a year on the Day of Atonement. * Many English versions translate the term "covenant decrees" literally as "testimony." This refers to the fact that the Ten Commandments were a testimony or witness to God's covenant with his people. It is also translated as "covenant law."   	['H727', 'H1285', 'H3068']	 ark, covenant, atonement, holyplace, testimony)	* 1 Samuel 06:15* Exodus 25:10-11* Hebrews 09:05* Judges 20:27* Numbers 07:89* Revelation 11:19
14	atonement	kt	atonement, atone, atones, atoned	The terms "atone" and "atonement" refer to how God provided a sacrifice to pay for people's sins and to appease his wrath for sin.  * In Old Testament times, God allowed temporary atonement to be made for the sins of the Israelites by the offering of a blood sacrifice, which involved killing an animal. * As recorded in the New Testament, Christ's death on the cross is the only true and permanent atonement for sin. * When Jesus died, he took the punishment that people deserve because of their sin. He paid the atonement price with his sacrificial death.	['H3722', 'H3725']	 atonementlid, forgive, propitiation, reconcile, redeem)	* Ezekiel 43:25-27* Ezekiel 45:18-20* Leviticus 04:20* Numbers 05:08* Numbers 28:22
15	atonementlid	kt	atonement lid	The "atonement lid" was a slab of gold that was used to cover the top of the ark of the covenant. In many English translations, it is also referred to as an "atonement cover."  * The atonement lid was about 115 centimeters in length and 70 centimeters in width. * Above the atonement lid were two gold cherubim with their wings touching. * Yahweh said that he would meet with the Israelites above the atonement lid, under the outstretched wings of the cherubim. Only the high priest was permitted to meet with Yahweh in this way, as the representative of the people. * Sometimes this atonement lid has been referred to as a "mercy seat" because it communicates God's mercy in coming down to redeem sinful human beings.	['H3727', 'G2435']	 arkofthecovenant, atonement, cherubim, propitiation, redeem	* Exodus 25:17* Exodus 30:06* Exodus 40:17-20* Leviticus 16:1-2* Numbers 07:89
16	authority	kt	authority, authorities	The term "authority" refers to the power of influence and control that someone has over someone else.  * Kings and other governing rulers have authority over the people they are ruling. * The word "authorities" can refer to people, governments, or organizations that have authority over others.  * The word "authorities" can also refer to spirit beings who have power over people who have not submitted themselves to God’s authority. * Masters have authority over their servants or slaves. Parents have authority over their children. * Governments have the authority or right to make laws that govern their citizens.	['H2940', 'H8633', 'G831', 'G1413', 'G1849', 'G1850', 'G2003', 'G2715', 'G5247']	 citizen, command, obey, power, ruler)	* Colossians 02:10* Esther 09:29* Genesis 41:35* Jonah 03:6-7* Luke 12:05* Luke 20:1-2* Mark 01:22* Matthew 08:09* Matthew 28:19* Titus 03:01
17	baptize	kt	baptize, baptized, baptism	In the New Testament, the terms "baptize" and "baptism" usually refer to ritually bathing a Christian with water to show that he has been cleansed from sin and has been united with Christ.  * Besides water baptism, the Bible talks about being "baptized with the Holy Spirit" and "baptized with fire." * The term "baptism" is also used in the Bible to refer to going through great suffering.	['G907']	 johnthebaptist, repent, holyspirit	* Acts 02:38* Acts 08:36* Acts 09:18* Acts 10:48* Luke 03:16* Matthew 03:14* Matthew 28:18-19
18	believe	kt	believe, believes, believed, believer, belief, unbeliever, unbelievers, unbelief	The terms "believe" and "believe in" are closely related, but have slightly different meanings:	['H539', 'G544', 'G569', 'G570', 'G571', 'G3982', 'G4100', 'G4102', 'G4103']	 believe, apostle, christian, disciple, faith, trust)	* Genesis 15:06* Genesis 45:26* Job 09:16-18* Habakkuk 01:5-7* Mark 06:4-6* Mark 01:14-15* Luke 09:41* John 01:12* Acts 06:05* Acts 09:42* Acts 28:23-24* Romans 03:03* 1 Corinthians 06:01* 1 Corinthians 09:05* 2 Corinthians 06:15* Hebrews 03:12* 1 John 03:23
19	believer	kt					
20	beloved	kt	beloved, treasured	The term "beloved" is an expression of affection that describes someone who is loved and dear to someone else.  * The term "beloved" literally means "loved (one)" or "(who is) loved." * God refers to Jesus as his "beloved Son." * In their letters to Christian churches, the apostles frequently address their fellow believers as "beloved."	['H157', 'H1730', 'H2532', 'H3033', 'H3039', 'H4261', 'G25', 'G27', 'G5207']		* 1 Corinthians 04:14* 1 John 03:02* 1 John 04:07* Mark 01:11* Mark 12:06* Revelation 20:09* Romans 16:08* Song of Solomon 01:14
21	birthright	kt	birthright	The term "birthright" in the Bible refers to the honor, family name, and physical wealth that was normally given to the firstborn son in a family.  * The birthright of the firstborn son included a double portion of the father's inheritance. * A king's firstborn son was normally given the birthright to rule after his father died. * Esau sold his birthright to his younger brother Jacob. Because of this, Jacob inherited the blessing of the firstborn instead of Esau. * The birthright also included the honor of having the family descendants traced through the firstborn son's line.	['H1062', 'G4415']	 firstborn, inherit, descendant	* 1 Chronicles 05:01* Genesis 25:34* Genesis 43:33* Hebrews 12:14-17
22	blameless	kt	blameless	The term "blameless" literally means "without blame." It is used to refer to a person who obeys God wholeheartedly, but it does not mean that the person is sinless.  * Abraham and Noah were considered blameless before God. * A person who has a reputation for being "blameless" behaves in a way that honors God. * According to one verse, a person who is blameless is "one who fears God and turns away from evil."	['H1368', 'H2136', 'H8535', 'G273', 'G274', 'G298', 'G299', 'G410', 'G423']		* 1 Thessalonians 02:10* 1 Thessalonians 03:11-13* 2 Peter 03:14* Colossians 01:22* Genesis 17:1-2* Philippians 02:15* Philippians 03:06
23	blasphemy	kt	blasphemy, blaspheme, blasphemes, blasphemed, blasphemous, blasphemies	In the Bible, the term "blasphemy" refers to speaking in a way that shows a deep disrespect for God or people. To "blaspheme" someone is to speak against that person so that others think something false or bad about him.  * Most often, to blaspheme God means to slander or insult him by saying things that are not true about him or by behaving in an immoral way that dishonors him. * It is blasphemy for a human being to claim to be God or to claim that there is a God other than the one true God. * Some English versions translate this term as "slander" when it refers to blaspheming people.	['H1442', 'H2778', 'H5006', 'H5007', 'H5344', 'G987', 'G988', 'G989']	 dishonor, slander)	* 1 Timothy 01:12-14* Acts 06:11* Acts 26:9-11* James 02:5-7* John 10:32-33* Luke 12:10* Mark 14:64* Matthew 12:31* Matthew 26:65* Psalms 074:10
24	bless	kt	bless, blessed, blessing, blessings	To "bless" someone or something means to cause good and beneficial things to happen to the person or thing that is being blessed.  * Blessing someone also means expressing a desire for positive and beneficial things to happen to that person. * In Bible times, a father would often pronounce a formal blessing on his children. * When people "bless" God or express a desire that God be blessed, this means they are praising him. * The term "bless" is sometimes used for consecrating food before it is eaten, or for thanking and praising God for the food.	['H833', 'H835', 'H1288', 'H1293', 'G1757', 'G2127', 'G2128', 'G2129', 'G3106', 'G3107', 'G3108', 'G3741']	 praise)	* 1 Corinthians 10:16* Acts 13:34* Ephesians 01:03* Genesis 14:20* Isaiah 44:03* James 01:25* Luke 06:20* Matthew 26:26* Nehemiah 09:05* Romans 04:09
25	blood	kt	blood	The term "blood" refers to the red liquid that comes out of a person's skin when there is an injury or wound. Blood brings life-giving nutrients to a person's entire body.  * Blood symbolizes life and when it is shed or poured out, it symbolizes the loss of life, or death. * When people made sacrifices to God, they killed an animal and poured its blood on the altar. This symbolized the sacrifice of the animal's life to pay for people's sins. * Through his death on the cross, Jesus' blood symbolically cleanses people from their sins and pays for the punishment they deserve for those sins. * The expression "flesh and blood" refers to human beings. * The expression "own flesh and blood" refers to people who are biologically related.	['H1818', 'H5332', 'G129', 'G130', 'G131']		* 1 John 01:07* 1 Samuel 14:32* Acts 02:20* Acts 05:28* Colossians 01:20* Galatians 01:16* Genesis 04:11* Psalms 016:4* Psalms 105:28-30
26	boast	kt	boast, boasts, boastful	The term "boast" means to talk proudly about something or someone. Often it means to brag about oneself.  * Someone who is "boastful" talks about himself in a proud way. * God rebuked the Israelites for "boasting in" their idols. They arrogantly worshiped false gods instead of the true God. * The Bible also talks about people boasting in such things as their wealth, their strength, their fruitful fields, and their laws. This means that they were proud about these things and did not acknowledge that God is the one who provided these things. * God urged the Israelites to instead "boast" or be proud about the fact that they know him. * The apostle Paul also talks about boasting in the Lord, which means being glad and thankful to God for all he has done for them.	['H1984', 'H3235', 'H6286', 'G212', 'G213', 'G2620', 'G2744', 'G2745', 'G2746', 'G3166']		* 1 Kings 20:11* 2 Timothy 03:1-4* James 03:14* James 04:15-17* Psalms 044:08
27	body	kt	body, bodies	The term "body" literally refers to the physical body of a person or animal. This term is also used figuratively to refer to an object or  whole group that has individual members.  * Often the term "body" refers to a dead person or animal. Sometimes this is referred to as a "dead body" or a "corpse." * When Jesus said to the disciples at his last Passover meal, "This (bread) is my body," he was referring to his physical body that would be "broken" (killed) to pay for their sins. * In the Bible, Christians as a group are referred to as the "body of Christ." * Just as a physical body has many parts, the "body of Christ" has many individual members. * Each individual believer has a special function in the body of Christ to help the whole group work together to serve God and bring him glory. * Jesus is also referred to as the "head" (leader) of the "body" of his believers. Just as a person's head tells his body what to do, so Jesus is the one who guides and directs Christians as members of his "body."	['H990', 'H1320', 'H1472', 'H1480', 'H1655', 'H3409', 'H4191', 'H5038', 'H5315', 'H6297', 'H7607', 'G4430', 'G4954', 'G4983']	 head, spirit	* 1 Chronicles 10:12* 1 Corinthians 05:05* Ephesians 04:04* Judges 14:08* Numbers 06:6-8* Psalm 031:09* Romans 12:05
28	bond	kt	bind, binding, bond, bonds, bound, is bound, tie, tying, tie up, tied, tied up, put on, puts on, gird up, fetters, chains	The term "bind" means to tie something or fasten it securely. Something that is tied or joined together is called a "bond." The term "bound" is the past tense of this term.  * To be "bound" means to have something tied or wrapped around something else. * In a figurative sense, a person can be "bound" to a vow, which means he is "required to fulfill" what he promised to do. * The term "bonds" refers to anything that binds, confines, or imprisons someone. It usually refers to physical chains, fetters or ropes that keep a person from being free to move. * In Bible times, bonds such as ropes or chains were used to attach prisoners to the wall or floor of a stone prison. * The term "bind" can also be used to talk about wrapping cloth around a wound to help it heal. * A dead person would be "bound" with cloth in preparation for burial. * The term "bond" is used figuratively to refer to something, such as sin, that controls or enslaves someone. * A bond can also be a close relationship between people in which they support each other emotionally, spiritually and physically. This applies to the bond of marriage. * For example, a husband and wife are "bound" or tied to each other. It is a bond that God does not want broken.	['H247', 'H481', 'H631', 'H632', 'H640', 'H3729', 'H4147', 'H6029', 'H6123', 'H6887', 'H7194', 'H7405', 'H7576', 'H8244', 'G254', 'G1195', 'G1198', 'G1199', 'G1210', 'G1249', 'G1402', 'G2611', 'G3784', 'G4019', 'G4029', 'G4886', 'G4887']	 fulfill, peace, prison, servant, vow)	* Leviticus 08:07
29	bornagain	kt	born again, born of God, new birth	The term "born again" was first used by Jesus to describe what it means for God to change a person from being dead spiritually to being alive spiritually. The terms "born of God" and "born of the Spirit" also refer to a person being given new spiritual life.  * All humans are born spiritually dead and are given a "new birth" when they accept Jesus Christ as their Savior. * At the moment of the spiritual new birth, God's Holy Spirit begins to live in the new believer and empowers him to produce good spiritual fruit in his life. * It is God's work to cause a person to be born again and become his child.	['G313', 'G509', 'G1080', 'G3824']	 holyspirit, save	* 1 John 03:09* 1 Peter 01:03* 1 Peter 01:23* John 03:04* John 03:07* Titus 03:05
30	brother	kt	brother, brothers	The term "brother" usually refers to a male person who shares at least one biological parent with another person.  * In the Old Testament, the term "brothers" is also used as a general reference to relatives, such as members of the same tribe, clan, or people group. * In the New Testament, the apostles often used "brothers" to refer to fellow Christians, including both men and women, since all believers in Christ are members of one spiritual family, with God as their heavenly Father. * A few times in the New Testament, the apostles used the term "sister" when referring specifically to a fellow Christian who was a woman, or to emphasize that both men and women are being included. For example, James emphasizes that he is talking about all believers when he refers to "a brother or sister who is in need of food or clothing."	['H251', 'H252', 'H264', 'H1730', 'H2992', 'H2993', 'H2994', 'H7453', 'G80', 'G81', 'G2385', 'G2455', 'G2500', 'G4613', 'G5360', 'G5569']	 apostle, godthefather, sister, spirit	* Acts 07:26* Genesis 29:10* Leviticus 19:17* Nehemiah 03:01* Philippians 04:21* Revelation 01:09
31	call	kt	call, calls, calling, called, invite	The terms "call to" and "call out" mean to say something loudly to someone who is not nearby. To "call" someone means to summon that person. There are also some other meanings.  * To "call out" to someone means to shout or speak loudly to someone far away. It can also mean to ask someone for help, especially God. * Often in the Bible, "call" has a meaning of "summon" or "command to come" or "request to come." * God calls people to come to him and be his people. This is their "calling." * When God "calls" people, it means that God has appointed or chosen people to be his children, to be his servants and proclaimers of his message of salvation through Jesus. * This term is also used in the context of naming someone. For example, "His name is called John," means, "He is named John" or "His name is John." * To be "called by the name of" means that someone is given the name of someone else. God says that he has called his people by his name. * A different expression, "I have called you by name" means that God has specifically chosen that person.	['H559', 'H2199', 'H4744', 'H6817', 'H7121', 'H7123', 'H7769', 'H7773', 'G154', 'G1528', 'G1941', 'G1951', 'G2028', 'G2046', 'G2564', 'G2821', 'G2822', 'G2840', 'G2919', 'G3004', 'G3106', 'G3333', 'G3343', 'G3603', 'G3686', 'G3687', 'G4341', 'G4377', 'G4779', 'G4867', 'G5455', 'G5537', 'G5581']		* 1 Kings 18:24* 1 Thessalonians 04:07* 2 Timothy 01:09* Ephesians 04:01* Galatians 01:15* Matthew 02:15* Philippians 03:14{{tag>publish ktlink }
32	centurion	kt	centurion, centurions	A centurion was a Roman army officer who had a group of 100 soldiers under his command.  * This could also be translated with a term that means, "leader of a hundred men" or "army leader" or "officer in charge of a hundred." * One Roman centurion came to Jesus to request healing for his servant. * The centurion in charge of Jesus' crucifixion was amazed when he witnessed how Jesus died. * God sent a centurion to Peter so that Peter could explain to him the good news about Jesus.   	['G1543', 'G2760']	 rome)	* Acts 10:01* Acts 27:01* Acts 27:42-44* Luke 07:04* Luke 23:47* Mark 15:39* Matthew 08:07* Matthew 27:54
33	children	kt	children, child	In the Bible, the term "child" is often used to generally refer to someone who is young in age, including an infant. The term "children" is the plural form and it also has several figurative uses.  * In the Bible, disciples or followers are sometimes called "children." * Often the term "children" is used to refer to a person's descendants. * The phrase "children of" can refer to being characterized by something. Some examples of this would be:    * children of the light    * children of obedience    * children of the devil   * This term can also refer to people who are like spiritual children. For example, "children of God" refers to people who belong to God through faith in Jesus.	['H1069', 'H1121', 'H1123', 'H1129', 'H1323', 'H1397', 'H1580', 'H2029', 'H2030', 'H2056', 'H2145', 'H2233', 'H2945', 'H3173', 'H3205', 'H3206', 'H3243', 'H3490', 'H4392', 'H5271', 'H5288', 'H5290', 'H5759', 'H5768', 'H5953', 'H6185', 'H7908', 'H7909', 'H7921', 'G730', 'G815', 'G1025', 'G1064', 'G3439', 'G3515', 'G3516', 'G3808', 'G3812', 'G3813', 'G3816', 'G5040', 'G5041', 'G5042', 'G5043', 'G5044', 'G5207', 'G5388']	 descendant, promise, son, spirit, believe, beloved	* 1 John 02:28* 3 John 01:04* Galatians 04:19* Genesis 45:11* Joshua 08:34-35* Nehemiah 05:05
34	christ	kt	Christ, Messiah	The terms "Messiah" and "Christ" mean "Anointed One" and refer to Jesus, God's Son.  * Both "Messiah" and "Christ" are used in the New Testament to refer to God's Son, whom God the Father appointed to rule as king over his people, and to save them from sin and death. * In the Old Testament, the prophets wrote prophecies about the Messiah hundreds of years before he came to earth. * Often a word meaning "anointed (one)" is used in the Old Testament to refer to the Messiah who would come. * Jesus fulfilled many of these prophecies and did many miraculous works that proves he is the Messiah; the rest of these prophecies will be fulfilled when he returns. * The word "Christ" is often used as a title, as in "the Christ" and "Christ Jesus." * "Christ" also came to be used as part of his name, as in "Jesus Christ."	['H4899', 'G3323', 'G5547']	 sonofgod, david, jesus, anoint	* 1 John 05:1-3* Acts 02:35* Acts 05:40-42* John 01:40-42* John 03:27-28* John 04:25* Luke 02:10-12* Matthew 01:16
35	christian	kt	Christian	Some time after Jesus went back to heaven, people made up the name "Christian" which means, "follower of Christ."  * It was in the city of Antioch where Jesus' followers were first called "Christians." * A Christian is a person who believes that Jesus is the Son of God, and who trusts Jesus to save him from his sins. * In our modern times, often the term "Christian" is used for someone who identifies with the Christian religion, but who is not really following Jesus. This is not the meaning of "Christian" in the Bible. * Because the term "Christian" in the Bible always refers to someone who truly believes in Jesus, a Christian is also called a "believer."	['G5546']	 antioch, christ, church, disciple, believe, jesus, sonofgod)	* 1 Corinthians 06:7-8* 1 Peter 04:16* Acts 11:26* Acts 26:28
36	church	kt	church, churches, Church	In the New Testament, the term "church" refers to a local group of believers in Jesus who regularly met together to pray and hear God's word preached. The term "the Church" often refers to all Christians.  * This term literally refers to a "called out" assembly or congregation of people who meet together for a special purpose. * When this term is used to refer to all believers everywhere in the whole body of Christ, some Bible translations capitalize the first letter ("Church") to distinguish it from the local church. * Often the believers in a particular city would meet together in someone's home. These local churches were given the name of the city such as the "church at Ephesus." * In the Bible, "church" does not refer to a building.	['G1577']	 assembly, believe, christian)	* 1 Corinthians 05:12* 1 Thessalonians 02:14* 1 Timothy 03:05* Acts 09:31* Acts 14:23* Acts 15:41* Colossians 04:15* Ephesians 05:23* Matthew 16:18* Philippians 04:15
37	circumcise	kt	circumcise, circumcised, circumcision, uncircumcised, uncircumcision	The term "circumcise" means to cut off the foreskin of a man or male child. A circumcision ceremony may be performed in connection with this.  * God commanded Abraham to circumcise every male among his family and servants as a sign of God's covenant with them. * God also commanded Abraham's descendants to continue to do this for every baby boy born into their households. * The phrase, "circumcision of the heart" refers figuratively to the "cutting away" or removal of sin from a person. * In a spiritual sense, "the circumcised" refers to people whom God has purified from sin through the blood of Jesus and who are his people. * The term "uncircumcised" refers to those who have not been circumcised physically. It can also refer figuratively to those who have not been circumcised spiritually, who do not have a relationship with God.  The terms "uncircumcised" and "uncircumcision" refer to a male who has not been physically circumcised. These terms are also used figuratively.  * Egypt was a nation that also required circumcision. So when God talks about Egypt being defeated by the "uncircumcised," he is referring to people whom the Egyptians despised for not being circumcised. * The Bible refers to people who have an "uncircumcised heart" or who are "uncircumcised in heart." This a figurative way of saying that these people are not God's people, and are stubbornly disobedient to him.  * If a word for circumcision is used or known in the language, "uncircumcised" could be translated as "not circumcised." * The expression "the uncircumcision" could be translated as "people who are not circumcised" or "people who do not belong to God," depending on the context. * Other ways to translate figurative senses of this term could include "not God's people" or "rebellious like those who don't belong to God" or "people who have no sign of belonging to God." * The expression "uncircumcised in heart" could be translated as "stubbornly rebellious" or "refusing to believe." However, if possible it is best to keep the expression or a similar one since spiritual circumcision is an important concept.	['H4135', 'H4139', 'H5243', 'H6188', 'H6189', 'H6190', 'G203', 'G564', 'G1986', 'G4059', 'G4061']	 abraham, covenant	* Genesis 17:11* Genesis 17:14* Exodus 12:48* Leviticus 26:41* Joshua 05:03* Judges 15:18* 2 Samuel 01:20* Jeremiah 09:26* Ezekiel 32:25* Acts 10:44-45* Acts 11:03* Acts 15:01* Acts 11:03* Romans 02:27* Galatians 05:03* Ephesians 02:11* Philippians 03:03* Colossians 02:11* Colossians 02:13
