factgrid-ubs_combining_criteria	wiki_combining_criteria	factgrid_id	ubs_id	wiki_id	factgrid_name	ubs_name	wiki_name	factgrid_desc	ubs_desc	wiki_desc	factgrid_ref	ubs_ref
name and ref		Q166012	ID_411ot		Ashpenaz	Ashpenaz		male biblical protagonist (Daniel 1:3)	chief of eunuchs of king Nebukadnezzar		Daniel 1:3	[(27, 1, 1, 1)]
name and ref		Q166026	ID_169nt		Asyncritus	Asyncritus		male biblical protagonist (Romans 16:14)	a person greeted in Romans 16		Romans 16:14	[(45, 16, 14, 2)]
name and ref		Q166039	ID_173nt		Augustus	Augustus		male biblical protagonist (Luke 2:1)	a Latin title given to Emperor Octavian and equivalent to a proper name		Luke 2:1	[(42, 2, 1, 11)]
name and ref		Q166141	ID_201nt		Bar-Jesus	Bar-Jesus		male biblical protagonist (Acts 13:6)	a false prophet		Acts 13:6	[(44, 13, 6, 16)]
name and ref		Q166234	ID_216nt		Bernice	Bernice		female biblical protagonist (Acts 25:13)	the daughter of Herod Agrippa I and sister of Herod Agrippa II		Acts 25:13	[(44, 25, 13, 9), (44, 25, 23, 9), (44, 26, 30, 10)]
name and ref		Q166272	ID_466ot		Biztha	Biztha		male biblical protagonist (Esther 1:10)	eunuch; servant of king Ahasuerus (Xerxes)		Esther 1:10	[(17, 1, 1, 1)]
name and ref		Q166291	ID_551nt		Caiaphas	Caiaphas		male biblical protagonist (Matthew 26:3)	the high priest who played a prominent role in the condemnation of Jesus		Matthew 26:3	[(40, 26, 3, 17), (40, 26, 57, 8), (42, 3, 2, 5), (43, 11, 49, 6), (43, 18, 13, 10), (43, 18, 14, 3), (43, 18, 24, 8), (43, 18, 28, 7), (44, 4, 6, 6)]
name and ref		Q166300	ID_568nt		Candace	Candace		female biblical protagonist (Acts 8:27)	title of the queen of Ethiopia: the Candace, the female ruler of Ethiopia; interpreted by some as the name of the queen of Ethiopia		Acts 8:27	[(44, 8, 27, 10)]
name and ref		Q166308	ID_1608ot		Carshena	Carshena		male biblical protagonist (Esther 1:14)	adviser of Ahasuerus		Esther 1:14	[(17, 1, 1, 1)]
name and ref		Q166331	ID_1235nt		Chloe	Chloe		male biblical protagonist (1 Corinthians 1:11)	a person whose family members reported to Paul about divisions in the church in Corinth		1 Corinthians 1:11	[(46, 1, 11, 10)]
name and ref		Q166334	ID_1240nt		Chuza	Chuza		male biblical protagonist (Luke 8:3)	(the Greek translation of the Hebrew and Aramaic word Messiah) a proper name for Jesus		Luke 8:3	[(42, 8, 3, 4)]
name and ref		Q166336	ID_605nt		Claudia	Claudia		male biblical protagonist (2 Timothy 4:21)	a Christian woman who sent greetings in 2 Tim 4:21		2 Timothy 4:21	[(55, 4, 21, 13)]
name and ref		Q166337	ID_606nt		Claudius	Claudius		male biblical protagonist (Acts 11:28)	Tiberius Claudius Nero Germanicus, a Roman emperor		Acts 11:28	[(44, 11, 28, 23), (44, 18, 2, 22)]
name and ref		Q166339	ID_610nt		Clement	Clement		male biblical protagonist (Philippians 4:3)	a member of the church at Philippi		Philippians 4:3	[(50, 4, 3, 17)]
name and ref		Q166349	ID_630nt		Cornelius	Cornelius		male biblical protagonist (Acts 10:1)	a Roman centurion to whom Peter ministered		Acts 10:1	[(44, 10, 1, 7), (44, 10, 3, 20), (44, 10, 17, 22), (44, 10, 22, 4), (44, 10, 24, 10), (44, 10, 25, 11), (44, 10, 30, 3), (44, 10, 31, 3)]
name and ref		Q166353	ID_637nt		Crescens	Crescens		male biblical protagonist (2 Timothy 4:10)	a companion of Paul		2 Timothy 4:10	[(55, 4, 10, 13)]
name and ref	both names	Q166365	ID_278nt	Q466687	Damaris	Damaris	Damaris	female biblical protagonist (Acts 17:34)	an Athenian woman converted by Paul	Greek saint	Acts 17:34	[(44, 17, 34, 16)]
name and ref		Q166401	ID_293nt		Demetrius	Demetrius		male biblical protagonist (Acts 19:24)	a silversmith in Ephesus		Acts 19:24	[(44, 19, 24, 1), (44, 19, 38, 4)]
name and ref		Q166404	ID_787ot		Diblaim	Diblaim		male biblical protagonist (Hosea 1:3)	father of Gomer, wife of prophet Hosea		Hosea 1:3	[(28, 1, 1, 1)]
name and ref		Q166409	ID_309nt		Dionysius	Dionysius		male biblical protagonist (Acts 17:34)	an Athenian and a member of the Areopagus who was converted by Paul		Acts 17:34	[(44, 17, 34, 10)]
name and ref		Q166422	ID_323nt		Drusilla	Drusilla		female biblical protagonist (Acts 24:24)	the youngest daughter of Herod Agrippa I who was married to Felix the procurator		Acts 24:24	[(44, 24, 24, 9)]
name and ref	both names	Q166473	ID_2246ot	Q362021	Eli	Eli	Eli	male biblical protagonist (1 Samuel 1:3)	priest; time of Samuel	High Priest of Shiloh	1 Samuel 1:3	[(9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 2, 1), (9, 1, 2, 1), (9, 1, 2, 1), (9, 1, 2, 1), (9, 1, 2, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 3, 1), (9, 1, 4, 1), (9, 1, 4, 1), (9, 1, 4, 1), (9, 1, 4, 1), (9, 1, 4, 1), (9, 1, 4, 1), (9, 1, 14, 1), (11, 1, 2, 1)]
name and ref	similarity > 1.3	Q166538	ID_242ot	Q480279	Elimelech	Elimelech	Abimelech	male biblical protagonist (Ruth 1:2)	man from Bethlehem; time of judges	In the Biblical book of Judges	Ruth 1:2	[(8, 1, 1, 1), (8, 1, 1, 1), (8, 1, 2, 1), (8, 1, 2, 1), (8, 1, 4, 1), (8, 1, 4, 1)]
name and ref	similarity > 1.3	Q166602	ID_2219ot	Q844433	Enan	Enan	Kenan	male biblical protagonist (Numbers 1:15)	father of Ahira; tribe of Naphtali	biblical figure	Numbers 1:15	[(4, 1, 1, 1), (4, 1, 2, 1), (4, 1, 7, 1), (4, 1, 7, 1), (4, 1, 10, 1)]
name and ref		Q166607	ID_375nt		Epaenetus	Epaenetus		male biblical protagonist (Romans 16:5)	the first Christian in Asia Minor		Romans 16:5	[(45, 16, 5, 8)]
name and ref		Q166609	ID_378nt		Epaphroditus	Epaphroditus		male biblical protagonist (Philippians 2:25)	a messenger sent to Paul from the Philippian church		Philippians 2:25	[(50, 2, 25, 4), (50, 4, 18, 9)]
name and ref		Q166627	ID_390nt		Erastus	Erastus		male biblical protagonist (Acts 19:22)	a companion of Paul		Acts 19:22	[(44, 19, 22, 12), (55, 4, 20, 1)]
name and ref		Q166648	ID_404nt		Eubulus	Eubulus		male biblical protagonist (2 Timothy 4:21)	a Christian who sent greetings in 2 Timothy		2 Timothy 4:21	[(55, 4, 21, 7)]
name and ref		Q166651	ID_411nt		Eutychus	Eutychus		male biblical protagonist (Acts 20:9)	a young man who fell out of a window in Troas		Acts 20:9	[(44, 20, 9, 6)]
name and ref		Q166680	ID_1190nt		Felix	Felix		male biblical protagonist (Acts 23:24)	a procurator of Palestine		Acts 23:24	[(44, 23, 24, 10), (44, 23, 26, 6), (44, 24, 3, 7), (44, 24, 22, 5), (44, 24, 24, 7), (44, 24, 25, 16), (44, 24, 27, 7), (44, 24, 27, 17), (44, 25, 14, 22)]
name and ref		Q166698	ID_254nt		Gallio	Gallio		male biblical protagonist (Acts 18:12)	a Roman proconsul of Achaia		Acts 18:12	[(44, 18, 12, 1), (44, 18, 14, 10), (44, 18, 17, 15)]
name and ref		Q166742	ID_695ot		Gideoni	Gideoni		male biblical protagonist (Numbers 1:11)	father of Abidan; tribe of Benjamin		Numbers 1:11	[(4, 1, 1, 1), (4, 1, 2, 1), (4, 1, 7, 1), (4, 1, 7, 1), (4, 1, 10, 1)]
name and ref	both names	Q166835	ID_1088ot	Q2346367	Hannah	Hannah	Hannah	female biblical protagonist (1 Samuel 1:2)	wife of Elkanah; mother of Samuel	wife of Elkanah mentioned in the Books of Samuel	1 Samuel 1:2	[(9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 1, 1), (9, 1, 2, 1), (9, 1, 2, 1)]
name and ref		Q166845	ID_1144ot		Harbona	Harbona		male biblical protagonist (Esther 1:10)	eunuch; servant of king Ahasuerus (Xerxes)		Esther 1:10	[(17, 1, 1, 1), (17, 1, 7, 1)]
name and ref		Q166951	ID_392nt		Hermas	Hermas		male biblical protagonist (Romans 16:14)	a person greeted in Romans 16		Romans 16:14	[(45, 16, 14, 6)]
name and ref		Q166953	ID_394nt		Hermogenes	Hermogenes		male biblical protagonist (2 Timothy 1:15)	a Christian from Asia Minor		2 Timothy 1:15	[(55, 1, 15, 15)]
name and ref	both names	Q166957	ID_446nt	Q230091	Herodias	Herodias	Herodias	female biblical protagonist (Matthew 14:3)	a granddaughter of Herod I and wife of Herod Antipas	princess of the Herodian Dynasty of Judaea	Matthew 14:3	[(40, 14, 3, 14), (40, 14, 6, 10), (41, 6, 17, 15), (41, 6, 19, 3), (41, 6, 22, 6), (42, 3, 19, 10)]
name and ref		Q167042	ID_1169nt		Hymenaeus	Hymenaeus		male biblical protagonist (1 Timothy 1:20)	a person who defected from true faith		1 Timothy 1:20	[(54, 1, 20, 3), (55, 2, 17, 11)]
name and ref	both names	Q167192	ID_483nt	Q325476	Jairus	Jairus	Jairus	male biblical protagonist (Mark 5:22)	a synagogue official	character from the New Testament, whose daughter was resurrected by Jesus	Mark 5:22	[(41, 5, 22, 7), (42, 8, 41, 7)]
name and ref	both names	Q167198	ID_486nt	Q21582218	Jambres	Jambres	Jambres	male biblical protagonist (2 Timothy 3:8)	an Egyptian sorcerer who together with Jannes opposed Moses before Pharaoh	Magician who opposed Moses in ''Exodus''	2 Timothy 3:8	[(55, 3, 8, 6)]
name and ref	both names	Q167207	ID_488nt	Q21582214	Jannes	Jannes	Jannes	male biblical protagonist (2 Timothy 3:8)	an Egyptian sorcerer who together with Jambres opposed Moses before Pharaoh	Magician who opposed Moses in ''Exodus''	2 Timothy 3:8	[(55, 3, 8, 4)]
name and ref		Q167228	ID_490nt		Jason	Jason		male biblical protagonist (Acts 17:5)	the host of Paul and Silas in Thessalonica		Acts 17:5	[(44, 17, 5, 21), (44, 17, 6, 6), (44, 17, 7, 3), (44, 17, 9, 7)]
name and ref		Q167462	ID_534nt		Joanna	Joanna		female biblical protagonist (Luke 8:3)	the wife of Chuza, an official of Herod Antipas		Luke 8:3	[(42, 8, 3, 2), (42, 24, 10, 7)]
name and ref	both names	Q167472	ID_186ot	Q179962	Job	Job	Job	male biblical protagonist (Job 1:1)	man	Biblical figure	Job 1:1	[(18, 1, 1, 1), (18, 1, 1, 1), (18, 1, 1, 1), (18, 1, 1, 1), (18, 1, 1, 1), (18, 1, 1, 1), (18, 1, 1, 1), (18, 1, 2, 1), (18, 1, 2, 1), (18, 1, 2, 1), (18, 1, 2, 1), (18, 1, 3, 1), (18, 1, 3, 1), (18, 1, 6, 1), (18, 1, 9, 1), (18, 1, 12, 1), (18, 1, 16, 1), (18, 1, 19, 1), (18, 1, 21, 1), (18, 1, 23, 1), (18, 1, 26, 1), (18, 1, 27, 1), (18, 1, 29, 1), (18, 1, 31, 1), (18, 1, 32, 1), (18, 1, 32, 1), (18, 1, 32, 1), (18, 1, 32, 1), (18, 1, 32, 1), (18, 1, 33, 1), (18, 1, 33, 1), (18, 1, 34, 1), (18, 1, 34, 1), (18, 1, 34, 1), (18, 1, 34, 1), (18, 1, 35, 1), (18, 1, 37, 1), (18, 1, 38, 1), (18, 1, 40, 1), (18, 1, 40, 1), (18, 1, 40, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (18, 1, 42, 1), (26, 1, 14, 1), (26, 1, 14, 1)]
name and ref		Q167620	ID_515nt		Julia	Julia		female biblical protagonist (Romans 16:15)	a person greeted in Romans 16		Romans 16:15	[(45, 16, 15, 4)]
name and ref		Q167694	ID_686nt		Linus	Linus		male biblical protagonist (2 Timothy 4:21)	a Christian who sent greetings in |s2TI.4:21|s*		2 Timothy 4:21	[(55, 4, 21, 11)]
name and ref	both names	Q167696	ID_703nt	Q25344412	Lois	Lois	Lois	female biblical protagonist (2 Timothy 1:5)	the grandmother of Timothy		2 Timothy 1:5	[(55, 1, 5, 15)]
name and ref		Q167702	ID_691nt		Lucius	Lucius		male biblical protagonist (Acts 13:1)	a teacher and prophet at Antioch		Acts 13:1	[(44, 13, 1, 21)]
name and ref		Q167706	ID_693nt		Lydia	Lydia		female biblical protagonist (Acts 16:14)	a woman merchant of purple cloth from Thyatira who was converted by Paul		Acts 16:14	[(44, 16, 14, 5), (44, 16, 40, 9)]
name and ref		Q167794	ID_719nt		Malchus	Malchus		male biblical protagonist (John 18:10)	the high priests slave whom Peter wounded		John 18:10	[(43, 18, 10, 26)]
name and ref		Q167817	ID_1840ot		Mara	Mara		female biblical protagonist (Ruth 1:2)	other name for Naomi, wife of Elimelech		Ruth 1:2	[(8, 1, 1, 1)]
name and ref		Q167857	ID_713nt		Matthias	Matthias		male biblical protagonist (Acts 1:23)	the person elected to take the place of the apostle Judas Iscariot		Acts 1:23	[(44, 1, 23, 12), (44, 1, 26, 10)]
name and ref	both names	Q167870	ID_1694ot	Q1917635	Mehuman	Mehuman	Mehuman	male biblical protagonist (Esther 1:10)	eunuch; servant of king Ahasuerus (Xerxes)		Esther 1:10	[(17, 1, 1, 1)]
name and ref		Q167883	ID_1788ot		Memucan	Memucan		male biblical protagonist (Esther 1:14)	adviser of Ahasuerus		Esther 1:14	[(17, 1, 1, 1), (17, 1, 1, 1), (17, 1, 1, 1)]
name and ref	both names	Q167905	ID_1750ot	Q11343582	Meshach	Meshach	Meshach	male biblical protagonist (Daniel 1:6)	Chaldean name of Mishael, friend of Daniel	one of the three youths thrown into the furnace in the Book of Daniel	Daniel 1:6	[(27, 1, 1, 1), (27, 1, 2, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1)]
name and ref		Q168005	ID_1907ot		Mithredath	Mithredath		male biblical protagonist (Ezra 1:8)	treasurier of king Cyrus; after exile		Ezra 1:8	[(15, 1, 1, 1)]
name and ref		Q168010	ID_759nt		Mnason	Mnason		male biblical protagonist (Acts 21:16)	a Christian from Cyprus		Acts 21:16	[(44, 21, 16, 14)]
name and ref	both names	Q168060	ID_1948ot	Q1981722	Nahum	Nahum	Nahum	male biblical protagonist (Nahum 1:1)	of Elkosh; prophet	minor prophet in the Bible	Nahum 1:1	[(34, 1, 1, 1)]
name and ref		Q168066	ID_791nt		Narcissus	Narcissus		male biblical protagonist (Romans 16:11)	a person whose household is greeted in |sROM.16:11|s*		Romans 16:11	[(45, 16, 11, 10)]
name and ref	both names	Q168073	ID_783nt	Q1359769	Nathanael	Nathanael	Nathanael	male biblical protagonist (John 1:45)	a disciple of Jesus		John 1:45	[(43, 1, 45, 4), (43, 1, 46, 4), (43, 1, 47, 5), (43, 1, 48, 3), (43, 1, 49, 3), (43, 21, 2, 11)]
name and ref		Q168105	ID_797nt		Nereus	Nereus		male biblical protagonist (Romans 16:15)	a person greeted in Romans 16		Romans 16:15	[(45, 16, 15, 5)]
name and ref	both names	Q168127	ID_802nt	Q295084	Nicodemus	Nicodemus	Nicodemus	male biblical protagonist (John 3:1)	a member of the Sanhedrin who spoke with Jesus	Pharisee, biblical figure appearing in the Gospel of John	John 3:1	[(43, 3, 1, 7), (43, 3, 4, 5), (43, 3, 9, 2), (43, 7, 50, 2), (43, 19, 39, 4)]
name and ref		Q168168	ID_836nt		Olympas	Olympas		male biblical protagonist (Romans 16:15)	a person greeted in Romans 16		Romans 16:15	[(45, 16, 15, 11)]
name and ref		Q168178	ID_839nt		Onesimus	Onesimus		male biblical protagonist (Colossians 4:9)	a slave of Philemon		Colossians 4:9	[(51, 4, 9, 2), (57, 1, 10, 12)]
name and ref	both names	Q168185	ID_2335ot	Q1697019	Orpah	Orpah	Orpah	female biblical protagonist (Ruth 1:4)	from Moab; wife of Chilion, son of Elimelech	Biblical figure from the Book of Ruth	Ruth 1:4	[(8, 1, 1, 1), (8, 1, 1, 1)]
name and ref		Q168205	ID_880nt		Parmenas	Parmenas		male biblical protagonist (Acts 6:5)	one of the seven helpers in the church in Jerusalem		Acts 6:5	[(44, 6, 5, 27)]
name and ref		Q168222	ID_887nt		Patrobas	Patrobas		male biblical protagonist (Romans 16:14)	a person greeted in Romans 16		Romans 16:14	[(45, 16, 14, 5)]
name and ref		Q168225	ID_2363ot		Pedahzur	Pedahzur		male biblical protagonist (Numbers 1:10)	father of Gamaliel; tribe of Manasseh		Numbers 1:10	[(4, 1, 1, 1), (4, 1, 2, 1), (4, 1, 7, 1), (4, 1, 7, 1), (4, 1, 10, 1)]
name and ref	both names	Q168247	ID_2413ot	Q2068934	Peninnah	Peninnah	Peninnah	female biblical protagonist (1 Samuel 1:2)	wife of Elkanah	A woman in the Hebrew or Christian Bible, mentioned in the Book of Samuel	1 Samuel 1:2	[(9, 1, 32, 1), (1, 1, 1, 1), (9, 1, 1, 1), (1, 2, 1, 1), (9, 1, 1, 1), (1, 4, 1, 1)]
name and ref	similarity > 1.3	Q168260	ID_2464ot	Q10329289	Pethuel	Pethuel	Methusael	male biblical protagonist (Joel 1:1)	father of prophet Joel	Biblical figure	Joel 1:1	[(29, 1, 1, 1)]
name and ref	both names	Q168266	ID_1183nt	Q7180641	Phanuel	Phanuel	Phanuel	male biblical protagonist (Luke 2:36)	the father of Anna the prophetess	Biblical character	Luke 2:36	[(42, 2, 36, 6)]
name and ref		Q168285	ID_1195nt		Philemon	Philemon		male biblical protagonist (Philemon 1:1)	a convert and friend of Paul		Philemon 1:1	[(57, 1, 1, 9)]
name and ref		Q168291	ID_1200nt		Philologus	Philologus		male biblical protagonist (Romans 16:15)	a person greeted in Romans 16		Romans 16:15	[(45, 16, 15, 2)]
name and ref		Q168295	ID_1201nt		Phlegon	Phlegon		male biblical protagonist (Romans 16:14)	a person greeted in Romans 16		Romans 16:14	[(45, 16, 14, 3)]
name and ref		Q168313	ID_936nt		Prisca	Prisca		female biblical protagonist (Acts 18:2)	the wife of Aquila		Acts 18:2	[(44, 18, 2, 16), (44, 18, 18, 18), (44, 18, 26, 11), (45, 16, 3, 2), (46, 16, 19, 14), (55, 4, 19, 2)]
name and ref	both names	Q168317	ID_2377ot	Q21959799	Puah	Puah	Puah	male biblical protagonist (Exodus 1:15)	midwife	midwife that appears in the book Exodus	Exodus 1:15	[(2, 1, 1, 1)]
name and ref		Q168320	ID_928nt		Publius	Publius		male biblical protagonist (Acts 28:7)	the person who had the principal authority on the island of Malta		Acts 28:7	[(44, 28, 7, 15), (44, 28, 8, 6)]
name and ref		Q168370	ID_2713ot		Rei	Rei		male biblical protagonist (1 Kings 1:8)	official; time of king David		1 Kings 1:8	[(11, 1, 1, 1)]
name and ref		Q168393	ID_979nt		Rhoda	Rhoda		female biblical protagonist (Acts 12:13)	a maidservant in the house of Μαρία Maria(f)		Acts 12:13	[(44, 12, 13, 12)]
name and ref		Q168405	ID_2675ot		Ruth	Ruth		female biblical protagonist (Ruth 1:4)	from Moab; wife of Mahlon, son of Elimelech		Ruth 1:4	[(8, 1, 1, 1), (8, 1, 1, 1), (8, 1, 1, 1), (8, 1, 1, 1), (8, 1, 2, 1), (8, 1, 2, 1), (8, 1, 2, 1), (8, 1, 2, 1), (8, 1, 3, 1), (8, 1, 4, 1), (8, 1, 4, 1), (8, 1, 4, 1)]
name and ref		Q168425	ID_1004nt		Salome	Salome		female biblical protagonist (Mark 15:40)	a Galilean woman who followed Jesus		Mark 15:40	[(41, 15, 40, 24), (41, 16, 1, 14)]
name and ref	both names	Q168433	ID_1016nt	Q9332716	Sapphira	Sapphira	Sapphira	female biblical protagonist (Acts 5:1)	the wife of Ἀνανίας Ananias(a)	Christian woman mentioned in the Acts of the Apostles	Acts 5:1	[(44, 5, 1, 7)]
name and ref		Q168446	ID_1057nt		Sceva	Sceva		male biblical protagonist (Acts 19:14)	a Jewish high priest		Acts 19:14	[(44, 19, 14, 4)]
name and ref		Q168448	ID_1029nt		Secundus	Secundus		male biblical protagonist (Acts 20:4)	a Christian of Thessalonica who was a companion of Paul		Acts 20:4	[(44, 20, 4, 11)]
name and ref	both names	Q168480	ID_2806ot	Q6116771	Shadrach	Shadrach	Shadrach	male biblical protagonist (Daniel 1:6)	Chaldean name of Hananiah, friend of Daniel	one of the three youths thrown into the fiery furnace in the Book of Daniel	Daniel 1:6	[(27, 1, 1, 1), (27, 1, 2, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1), (27, 1, 3, 1)]
name and ref		Q168571	ID_2805ot		Shedeur	Shedeur		male biblical protagonist (Numbers 1:5)	father of Elizur, chief; tribe of Reuben		Numbers 1:5	[(4, 1, 1, 1), (4, 1, 2, 1), (4, 1, 7, 1), (4, 1, 7, 1), (4, 1, 10, 1)]
name and ref		Q168662	ID_2997ot		Shethar	Shethar		male biblical protagonist (Esther 1:14)	adviser of Ahasuerus		Esther 1:14	[(17, 1, 1, 1)]
name and ref	both names	Q168708	ID_2975ot	Q767434	Shiphrah	Shiphrah	Shiphrah	male biblical protagonist (Exodus 1:15)	midwife	midwife that appears in the book Exodus	Exodus 1:15	[(2, 1, 1, 1)]
name and ref		Q168780	ID_1125nt		Sopater	Sopater		male biblical protagonist (Acts 20:4)	a Christian in Beroea		Acts 20:4	[(44, 20, 4, 4)]
name and ref		Q168783	ID_1126nt		Sosthenes	Sosthenes		male biblical protagonist (Acts 18:17)	a leader of a synagogue in Corinth; many scholars consider (a) and (b) to be the same person		Acts 18:17	[(44, 18, 17, 4)]
name and ref		Q168785	ID_1085nt		Stachys	Stachys		male biblical protagonist (Romans 16:9)	a person greeted in |sROM.16:9|s*		Romans 16:9	[(45, 16, 9, 9)]
name and ref		Q168787	ID_1090nt		Stephen	Stephen		male biblical protagonist (Acts 6:5)	one of the seven helpers in the church in Jerusalem and the first Christian martyr		Acts 6:5	[(44, 6, 5, 11), (44, 6, 8, 1), (44, 6, 9, 23), (44, 7, 59, 4), (44, 8, 2, 4), (44, 11, 19, 11), (44, 22, 20, 6)]
name and ref	both names	Q168789	ID_1073nt	Q756861	Susanna	Susanna	Susanna	female biblical protagonist (Luke 8:3)	a follower of Jesus	character in the deuterocanonical additions to the Book of Daniel (for the section of the additions to Daniel, use Q35555488)	Luke 8:3	[(42, 8, 3, 8)]
name and ref		Q168792	ID_1111nt		Syntyche	Syntyche		female biblical protagonist (Philippians 4:2)	a Christian woman in the church of Philippi		Philippians 4:2	[(50, 4, 2, 4)]
name and ref	both names	Q168832	ID_1140nt	Q3518955	Tertullus	Tertullus	Tertullus	male biblical protagonist (Acts 24:1)	an attorney who accused Paul before Felix	Biblical character	Acts 24:1	[(44, 24, 1, 14), (44, 24, 2, 7)]
name and ref	both names	Q168840	ID_459nt	Q1384449	Theophilus	Theophilus	Theophilus	male biblical protagonist (Luke 1:3)	an important Christian to whom the books of Luke and Acts were dedicated	biblical character	Luke 1:3	[(42, 1, 3, 11), (44, 1, 1, 9)]
